LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,llm_industry_label,llm_business_stage,llm_loan_backing_type,llm_risk_factors,llm_geo_context,llm_risk_summary,llm_risk_score
1000134004,COMMERCIAL TRUCKING MAINTENANC,CHARLOTTE,NC,28256,SUNTRUST BANK,GA,811111,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,23-Feb-98,"$70,000.00 ",$0.00 ,P I F,$0.00 ,"$70,000.00 ","$56,000.00 ",Automotive Repair and Maintenance,new,SBA guaranteed,"new business, single employee, low documentation loan, urban location","Charlotte, NC","The borrower is a new, single-employee automotive repair business located in an urban area. The loan is SBA guaranteed but is a low documentation loan, increasing risk. The business's early stage and minimal staffing contribute to moderate to high default risk.",70
1000144007,PROFESSIONAL ELEVATOR SERVICES,CHICAGO,IL,60605,BANK OF AMERICA NATL ASSOC,OR,235950,28-Feb-97,1997,60,24,1.0,0,0,1,0,N,N,,30-Nov-97,"$150,000.00 ",$0.00 ,P I F,$0.00 ,"$300,000.00 ","$225,000.00 ",Specialty Trade Contractors,existing,SBA guaranteed,"medium business size, urban location, no revolving line of credit, loan term of 60 months","Chicago, IL urban area",Established specialty trade contractor with moderate employee count and SBA-backed loan reduces risk. Urban location and no revolving credit line present moderate risk factors.,40
1000146010,CARVEL,APEX,NC,27502,STEARNS BK NATL ASSOC,MN,445299,7-Feb-06,2006,162,2,2.0,0,0,15100,1,N,N,,31-Mar-06,"$253,400.00 ",$0.00 ,P I F,$0.00 ,"$253,400.00 ","$190,050.00 ",Specialty Food Stores,new,SBA guaranteed,"new business, small employee count, long loan term, urban location","Apex, NC (urban area)","The borrower is a new small business in the specialty food retail sector with only 2 employees. The loan is SBA guaranteed, which reduces risk, but the business's newness and small size increase default risk. The urban location may provide market opportunities but also competition. The loan is fully documented and not a revolving line of credit.",65
1000154010,"ORCHARD CAFE & BAKERY, INC.",SLATERSVILLE,RI,2876,CITIZENS BANK NATL ASSOC,RI,0,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,N,,31-May-97,"$370,000.00 ",$0.00 ,P I F,$0.00 ,"$370,000.00 ","$277,500.00 ",Unknown,new,SBA guaranteed,"new business, small employee count, long loan term, rural location, no revolving line of credit","Slatersville, RI, rural area","The borrower is a new small business with only 2 employees located in a rural area. The loan is SBA guaranteed, which reduces risk, but the long loan term and lack of revolving credit increase risk. Overall, the business maturity and small size contribute to moderate risk.",60
1000214004,EBC INVESTMENTS LLC,WINSTON-SALEM,NC,27106,NORTHWEST PIEDMONT DEVEL CORPO,NC,0,28-Feb-97,1997,240,1,1.0,30,0,1,0,N,N,,17-Dec-97,"$225,000.00 ",$0.00 ,P I F,$0.00 ,"$225,000.00 ","$225,000.00 ",Unknown,existing,SBA guaranteed,"single employee, long loan term, unknown industry, urban location","Winston-Salem, NC","The business is an existing single-employee entity with an unknown industry classification. The loan is fully SBA guaranteed, which reduces risk. The long loan term and urban location are neutral factors. Overall, the risk is moderate due to limited business scale and unknown industry.",50
1000244002,"ENVIRONMENTAL ROOFING SYSTEMS,",OKLAHOMA CITY,OK,73112,BANK OF AMERICA NATL ASSOC,NC,421330,28-Feb-97,1997,12,5,2.0,0,0,1,0,N,N,,30-Sep-97,"$350,000.00 ",$0.00 ,P I F,$0.00 ,"$350,000.00 ","$262,500.00 ",Wholesale Trade,new,SBA guaranteed,"new business, small employee count, short loan term, urban location","Oklahoma City, OK","The borrower is a new small business with only 5 employees, located in an urban area. The loan is SBA guaranteed, which reduces risk, but the short 12-month term and new business status increase default risk.",65
1000254005,ARK MAMAGEMENT ENTERPRISES INC,MIDLAND,TX,79701,WELLS FARGO BANK NATL ASSOC,TX,0,28-Feb-97,1997,60,5,1.0,0,0,1,0,N,Y,,30-Jun-97,"$70,000.00 ",$0.00 ,P I F,$0.00 ,"$70,000.00 ","$56,000.00 ",Unknown,existing,SBA guaranteed,"Low documentation loan, Small number of employees, Unknown industry, Rural location","Midland, TX, ZIP 79701","The business is an existing small enterprise with 5 employees located in a rural area. The loan is SBA guaranteed but is a low documentation loan, which increases risk. The industry is unknown, adding uncertainty. Overall, moderate risk due to limited documentation and small size balanced by SBA guarantee.",50
1000264008,"FAIRFAX COURT SUBWAY, INC.",CENTREVILLE,VA,20120,BANK OF AMERICA NATL ASSOC,MD,0,28-Feb-97,1997,60,16,1.0,0,0,1,0,N,Y,,31-Jul-97,"$100,000.00 ",$0.00 ,P I F,$0.00 ,"$100,000.00 ","$80,000.00 ",Unknown,existing,SBA guaranteed,"Low documentation loan, Unknown industry classification, Moderate employee count, Urban location","Centreville, VA","The business is established with 16 employees and located in an urban area. The loan is SBA guaranteed which reduces risk, but the low documentation status and unknown industry classification increase uncertainty.",40
1000284003,FANTASTIC SAMS,PLANO,TX,75093,NEWTEK SMALL BUS. FINANCE INC.,NY,0,28-Feb-97,1997,84,12,2.0,0,0,19755,0,N,Y,,31-May-97,"$57,500.00 ",$0.00 ,P I F,$0.00 ,"$57,500.00 ","$46,000.00 ",Unknown,new,SBA guaranteed,"new business, low documentation loan, small employee count, urban location","Plano, TX 75093","The borrower is a new business with a small number of employees and a low documentation loan, which increases risk. The loan is SBA guaranteed, which mitigates some risk. The urban location may provide better market access.",65
1000294006,SIR GOONY'S GOLF,KNOXVILLE,TN,37922,CITIZENS NATIONAL BANK,TN,0,28-Feb-97,1997,120,4,2.0,0,0,1,0,N,Y,,31-May-98,"$50,000.00 ",$0.00 ,P I F,$0.00 ,"$50,000.00 ","$40,000.00 ",Unknown,new,SBA guaranteed,"new business, low documentation loan, small number of employees, urban location","Knoxville, TN","The loan is for a new small business with only 4 employees, supported by a low documentation loan and SBA guarantee. The urban location and SBA backing reduce risk somewhat, but the newness and limited documentation increase risk.",65
1000324002,ECONOLODGE OF DUMAS,DUMAS,TX,79029,"BUSINESS LOAN CENTER, LLC",SC,0,28-Feb-97,1997,300,12,2.0,0,0,1,0,N,N,,30-Apr-97,"$615,000.00 ",$0.00 ,P I F,$0.00 ,"$615,000.00 ","$461,250.00 ",Hospitality,new,SBA guaranteed,"new business, small employee count, long loan term, rural location","Dumas, TX, rural area","The loan is for a new hospitality business with a small number of employees located in a rural area. The SBA guarantee reduces risk, but the newness of the business and long loan term increase risk.",65
1000344008,"YOUNG ACHIEVERS PRESCHOOL, INC",CORAL SPRINGS,FL,33065,BANESCO USA,FL,624410,28-Feb-97,1997,87,2,1.0,0,0,1,0,N,N,,31-Aug-97,"$70,000.00 ",$0.00 ,P I F,$0.00 ,"$70,000.00 ","$56,000.00 ",Child Day Care Services,existing,SBA guaranteed,"small employee count, long loan term, urban location","Coral Springs, FL","The business is an existing preschool with a small number of employees and a long loan term. The loan is SBA guaranteed, reducing risk. The urban location provides access to a stable market. Overall, moderate risk due to small scale and long repayment period.",50
1000394001,NICOLES RESTAURANT,JOHNSTON,RI,2919,BANK OF AMERICA NATL ASSOC,RI,0,28-Feb-97,1997,114,6,1.0,0,0,1,0,N,N,,31-Mar-98,"$75,000.00 ",$0.00 ,P I F,$0.00 ,"$75,000.00 ","$56,250.00 ",Restaurant,existing,SBA guaranteed,"small employee count, long loan term, urban location","Johnston, RI","Established restaurant with a small team in an urban area, supported by SBA guarantee reducing risk. Moderate risk due to small size and long loan term.",50
1000434000,"TRIANGLE MACHINE & MFG., INC.",EULESS,TX,76040,"FIRST BANK TEXAS, SSB",TX,0,28-Feb-97,1997,144,90,1.0,0,0,1,0,N,N,,30-Apr-97,"$1,250,000.00 ",$0.00 ,P I F,$0.00 ,"$1,250,000.00 ","$937,500.00 ",Manufacturing,existing,SBA guaranteed,"large loan amount, long loan term, urban location","Euless, TX","Established manufacturing business with a large SBA-backed loan and a long repayment term, located in an urban area. Moderate risk due to loan size and term balanced by SBA guarantee and business maturity.",50
1000446006,SUBWAY,LITTLE ROCK,AR,72223,HOPE FCU,MS,722211,7-Feb-06,2006,126,7,1.0,0,0,1,1,N,N,,30-Apr-06,"$137,300.00 ",$0.00 ,P I F,$0.00 ,"$137,300.00 ","$116,705.00 ",Full-Service Restaurants,existing,SBA guaranteed,"small employee count, long loan term, urban location","LITTLE ROCK, AR, ZIP 72223","Established small restaurant business with SBA-backed loan, moderate employee size, and urban location. Low documentation and no revolving credit reduce risk. Long loan term may increase exposure.",40
1000474001,DEE'S CORNER BAIT & TACKLE,SAINT PETER,MN,56082,WELLS FARGO BANK NATL ASSOC,MN,451110,28-Feb-97,1997,60,2,1.0,0,0,1,0,N,N,,30-Apr-97,"$39,500.00 ",$0.00 ,P I F,$0.00 ,"$39,500.00 ","$29,625.00 ",Sporting Goods Stores,existing,SBA guaranteed,"small employee count, rural location, limited business scale","Saint Peter, MN, rural area","The business is an existing small sporting goods store with a very small workforce located in a rural area. The loan is SBA guaranteed, which reduces risk. The loan is fully documented and not a revolving line of credit. The small size and rural context present moderate risk factors.",50
1000484004,"C & S TRANSIT, INC.",INDEPENDENCE,MO,64055,BANK OF AMERICA NATL ASSOC,NC,0,28-Feb-97,1997,60,2,2.0,0,0,1,0,0,N,,31-May-98,"$50,000.00 ",$0.00 ,P I F,$0.00 ,"$50,000.00 ","$25,000.00 ",Unknown,new,SBA guaranteed,"new business, small employee count, unknown industry, urban location","Independence, MO 64055","The borrower is a new small business with only 2 employees and an unknown industry classification. The loan is partially backed by an SBA guarantee, which mitigates some risk. The loan is fully documented and located in an urban area. Overall, the risk is elevated due to business infancy and limited operational scale.",70
1000504008,HUNTERSBROOK STABLE,MARSHFIELD,MA,2050,ROCKLAND TRUST COMPANY,MA,0,28-Feb-97,1997,240,3,1.0,0,0,1,0,N,Y,,31-Jul-97,"$75,000.00 ",$0.00 ,P I F,$0.00 ,"$75,000.00 ","$60,000.00 ",Unknown,existing,SBA guaranteed,"Low documentation loan, Small number of employees, Long loan term, Rural location","Marshfield, MA, ZIP 2050","The business is established with a small workforce and located in a rural area. The loan is SBA guaranteed which reduces risk, but the low documentation status and long loan term increase uncertainty.",50
1000506000,WEYLAND CORPORATION,CAMARILLO,CA,93010,WELLS FARGO BANK NATL ASSOC,SD,611110,7-Feb-06,2006,83,18,2.0,5,23,1,1,Y,N,,28-Feb-06,"$438,541.00 ",$0.00 ,P I F,$0.00 ,"$100,000.00 ","$50,000.00 ",Elementary and Secondary Schools,new,SBA guaranteed,"new business, relatively high loan amount, urban location, revolving line of credit","Camarillo, CA (urban)","The borrower is a new business in the education sector with a moderate number of employees. The loan is partially SBA guaranteed and structured as a revolving line of credit, which adds some risk. The urban location may provide better market access but also higher competition. Overall, the risk is moderate due to business infancy and loan size.",60
1000514000,"SCROOGE'S SPIRIT, INC.",ANDERSON,SC,29621,CERTIFIED DEVEL CORP OF SO. CA,SC,445310,28-Feb-97,1997,240,1,2.0,5,0,1,0,N,N,,14-Jan-98,"$291,000.00 ",$0.00 ,P I F,$0.00 ,"$291,000.00 ","$291,000.00 ",Specialty Food Stores,new,SBA guaranteed,"new business, single employee, long loan term, urban location","Anderson, SC, ZIP 29621","The business is a new specialty food store with only one employee, which increases operational risk. The loan is fully SBA guaranteed, reducing lender risk. The long loan term adds exposure over time. The urban location may provide market opportunities but also competition.",65
1000516003,CHICAGO BRICK UNLIMITED INC,MIAMI,FL,33186,"CITIBANK, N.A.",FL,238140,7-Feb-06,2006,84,4,1.0,0,4,1,1,Y,N,,28-Feb-06,"$51,440.00 ",$0.00 ,P I F,$0.00 ,"$35,000.00 ","$17,500.00 ",Masonry Contractors,existing,SBA guaranteed,"small employee count, urban location, revolving line of credit, moderate loan amount","Miami, FL urban area","Established small masonry contracting business with a small workforce in an urban Miami location. The loan is partially SBA guaranteed, reducing risk. The revolving line of credit adds some risk due to potential variability in repayment. Overall, moderate risk given business maturity and loan structure.",50
1000524003,AUDELIA FAMILY DENTAL GROUP,DALLAS,TX,75243,THE FROST NATIONAL BANK,TX,621210,28-Feb-97,1997,102,12,1.0,0,0,1,0,N,N,,31-Jul-97,"$600,000.00 ",$0.00 ,P I F,$0.00 ,"$600,000.00 ","$450,000.00 ",Dental Offices,existing,SBA guaranteed,"medium business size, long loan term, urban location","Dallas, TX",Established dental practice with moderate employee count and SBA-backed loan reduces risk. Urban location and long loan term add moderate risk factors.,35
1000526006,"RZI, INC.",NEW ORLEANS,LA,70130,BUSINESS RES. CAP. SPECIALTY B,LA,532490,7-Feb-06,2006,60,3,1.0,0,0,1,1,N,N,,31-May-06,"$50,000.00 ",$0.00 ,P I F,$0.00 ,"$50,000.00 ","$42,500.00 ",Other Commercial and Industrial Machinery and Equipment Rental and Leasing,existing,SBA guaranteed,"small employee count, urban location, no revolving line of credit, no low documentation loan","New Orleans, LA","Established small business with a small workforce in an urban area, supported by a substantial SBA guarantee and full documentation. Moderate risk due to small size but mitigated by SBA backing and loan structure.",40
1000534006,PPP COMMUNICATIONS,WASHINGTON,IA,52353,WASHINGTON STATE BANK,IA,454210,28-Feb-97,1997,84,2,2.0,0,0,1,0,N,N,,31-Oct-97,"$30,000.00 ",$0.00 ,P I F,$0.00 ,"$30,000.00 ","$22,500.00 ",Electronic Shopping and Mail-Order Houses,new,SBA guaranteed,"new business, small employee count, rural location, no revolving line of credit","Washington, IA (rural)","The business is a new small enterprise with only 2 employees located in a rural area. The loan is SBA guaranteed, which reduces risk, but the lack of a revolving line of credit and new business status increase risk.",65
1000536009,HUTMACHER HOLDINGS INC,LEANDER,TX,78641,WELLS FARGO BANK NATL ASSOC,SD,541611,7-Feb-06,2006,80,2,1.0,4,6,1,2,Y,N,,31-May-06,"$63,076.00 ",$0.00 ,P I F,$0.00 ,"$25,000.00 ","$12,500.00 ",Administrative Management and General Management Consulting Services,existing,SBA guaranteed,"small employee count, rural location, long loan term, revolving line of credit","Leander, TX (rural area)",The business is an existing small consulting firm with only 2 employees located in a rural area. The loan is partially SBA guaranteed and structured as a revolving line of credit with a long term. The low documentation status is not a risk factor here. The small size and rural location increase risk moderately.,50
1000544009,PRESTIGE LIMOUSINE SERVICE,ROANOKE,VA,24015,FIRST COMMUNITY BANK,VA,0,28-Feb-97,1997,84,2,1.0,0,0,1,0,N,Y,,14-Mar-97,"$60,000.00 ",$0.00 ,P I F,$0.00 ,"$60,000.00 ","$48,000.00 ",Transportation and Limousine Service,existing,SBA guaranteed,"low documentation loan, small number of employees, long loan term, urban/rural code indicates rural area","Roanoke, VA 24015","The business is an existing small transportation service with only 2 employees, operating in a rural area. The loan is SBA guaranteed which reduces risk, but the low documentation status and small employee base increase risk. The long loan term adds some risk exposure.",50
1000554001,PAUL E. & JUDY A. FAATZ,KINSMAN,OH,44428,CORTLAND SAVINGS & BK. CO.,OH,0,28-Feb-97,1997,137,2,1.0,0,0,1,0,N,Y,18-Apr-02,30-Jun-97,"$47,000.00 ",$0.00 ,CHGOFF,"$14,084.00 ","$47,000.00 ","$37,600.00 ",Unknown,existing,SBA guaranteed,"low documentation loan, small number of employees, long loan term, rural location, unknown industry","Kinsman, OH, rural area","The loan is SBA guaranteed which reduces risk, but the business is small with only 2 employees, operates in a rural area, and has low documentation. The industry is unknown, adding uncertainty. The long loan term increases exposure.",55
1000574007,VILLAGE REST HOME,NORTH EASTON,MA,2356,HOME LOAN INVEST BANK F.S.B.,RI,0,28-Feb-97,1997,84,9,1.0,0,0,1,0,N,Y,,31-May-97,"$70,000.00 ",$0.00 ,P I F,$0.00 ,"$70,000.00 ","$56,000.00 ",Unknown,existing,SBA guaranteed,"Low documentation loan, Small number of employees, Unknown industry, Rural location","NORTH EASTON, MA, ZIP 2356, rural area","The business is established with 9 employees and has an SBA guaranteed loan, which reduces risk. However, the loan is low documentation, the industry is unknown, and the location is rural, which increases risk.",50
1000576010,CORBIN CREEK GREENHOUSE,SPRINGFIELD,TN,37172,BBCN BANK,CA,453110,7-Feb-06,2006,84,4,1.0,1,4,1,1,0,N,,28-Feb-06,"$20,000.00 ",$0.00 ,P I F,$0.00 ,"$20,000.00 ","$17,000.00 ",Florists,existing,SBA guaranteed,"small employee count, rural location, limited loan amount","Springfield, TN 37172","Established small florist business with a small team in a rural area, supported by an SBA guaranteed loan which reduces default risk. No revolving credit and full documentation indicate stable loan conditions.",30
1000584010,JFJ PROCESSORS,LEWISBURG,TN,37091,FIRST FARMERS & MERCHANTS BK,TN,311611,28-Feb-97,1997,180,7,1.0,0,0,1,0,0,N,,30-Apr-97,"$245,000.00 ",$0.00 ,P I F,$0.00 ,"$245,000.00 ","$183,750.00 ",Animal Slaughtering and Processing,existing,SBA guaranteed,"small employee count, rural location, long loan term","Lewisburg, TN 37091",Established small business in animal processing with SBA-backed loan reduces risk. Rural location and small workforce add moderate risk. No revolving credit and full documentation improve profile.,40
1000594002,"M.A.S. TRUCKING, INC.",SPRINGFIELD,IL,62702,"PNC BANK, NATIONAL ASSOCIATION",IL,0,28-Feb-97,1997,84,3,1.0,0,0,1,0,0,N,,31-May-97,"$225,000.00 ",$0.00 ,P I F,$0.00 ,"$225,000.00 ","$168,750.00 ",Trucking and Freight Transportation,existing,SBA guaranteed,"small number of employees, long loan term, urban location","Springfield, IL, ZIP 62702","Established small trucking business with a small workforce and a long-term SBA-backed loan in an urban area. The SBA guarantee reduces risk, but the small employee base and loan size present moderate risk factors.",50
1000624009,OLD LOUISVILLE INN,LOUISVILLE,KY,40208,"PNC BANK, NATIONAL ASSOCIATION",KY,0,28-Feb-97,1997,126,5,1.0,0,0,1,0,0,N,,31-May-97,"$40,000.00 ",$0.00 ,P I F,$0.00 ,"$40,000.00 ","$30,000.00 ",Unknown,existing,SBA guaranteed,"small employee count, long loan term, unknown industry classification","Louisville, KY, urban area","The business is an existing small enterprise with a small number of employees and a long loan term. The loan is SBA guaranteed, which reduces risk. However, the lack of industry classification and small scale of the business increase uncertainty.",40
1000634001,IRON HORSE FABRICATIONS,LELAND,MS,38756,STATE BANK & TRUST COMPANY,MS,332996,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,Y,,30-Jun-97,"$100,000.00 ",$0.00 ,P I F,$0.00 ,"$100,000.00 ","$80,000.00 ",Metal Fabrication,new,SBA guaranteed,"new business, low documentation loan, small employee count, rural location","Leland, MS, rural area","The borrower is a new small business in a rural area with only 2 employees. The loan is low documentation but has a strong SBA guarantee covering 80% of the loan amount. These factors indicate moderate risk due to business infancy and limited operational scale, partially mitigated by SBA backing.",55
1000653000,LARRY SCHOETTMER FORD INC,EDINBURGH,IN,46124,JPMORGAN CHASE BANK NATL ASSOC,IN,0,11-Jun-80,1980,120,16,2.0,0,0,0,0,Y,N,4-Oct-89,31-Jul-80,"$197,485.00 ",$0.00 ,CHGOFF,"$44,374.00 ","$200,000.00 ","$150,000.00 ",Unknown,new,SBA guaranteed,"new business, small employee count, long loan term, urban location unknown, revolving line of credit","Edinburgh, IN 46124","The borrower is a new business with a small number of employees and a long loan term. The loan is SBA guaranteed, which reduces risk, and it is not a low documentation loan. The urban/rural classification is unclear. The revolving line of credit adds some risk due to potential variability in borrowing.",60
1000655003,Sun Service Center,Newburgh,NY,12550,WELLS FARGO BANK NATL ASSOC,SD,0,4-Oct-96,1997,84,3,1.0,0,0,1,0,0,N,,31-Jul-97,"$25,000.00 ",$0.00 ,P I F,$0.00 ,"$25,000.00 ","$12,500.00 ",Unknown,existing,SBA guaranteed,"small employee count, unknown industry, urban location, medium loan term (84 months)","Newburgh, NY 12550","The business is an existing small enterprise with a very small workforce and an unknown industry classification. The loan is partially backed by an SBA guarantee, which reduces risk. The urban location and standard documentation level are neutral factors. Overall, the risk is moderate due to limited business scale and unknown industry.",50
1000665006,"Dover Quality Foods, Inc.",Dover (census name for Dover C,MA,2030,BANK OF AMERICA NATL ASSOC,MA,0,25-Mar-97,1997,12,20,1.0,0,0,1,0,0,N,,30-Sep-97,"$100,000.00 ",$0.00 ,P I F,$0.00 ,"$100,000.00 ","$50,000.00 ",Unknown,existing,SBA guaranteed,"Short loan term (12 months), Moderate employee count (20), Partial SBA guarantee (50%), Urban location (Dover, MA), No revolving line of credit, Not a low documentation loan","Urban area in Dover, Massachusetts","The business is established with 20 employees and located in an urban area. The loan is partially backed by an SBA guarantee, reducing risk. The short loan term and absence of a revolving line of credit add moderate risk. Overall, the loan has moderate default risk.",50
1000674002,SNADER EXCAVATING AND TRUCKING,SMITHVILLE,OH,44677,FIRST NATIONAL BANK,OH,235930,28-Feb-97,1997,84,1,1.0,0,0,1,0,N,Y,,31-Mar-97,"$71,000.00 ",$0.00 ,P I F,$0.00 ,"$71,000.00 ","$56,800.00 ",Construction and Excavation,existing,SBA guaranteed,"low documentation loan, single employee, rural location, no revolving line of credit","Smithville, OH 44677","The business is an existing single-employee excavation and trucking company located in a rural area. The loan is SBA guaranteed but has low documentation and no revolving credit line, which increases risk. The long loan term and SBA backing mitigate some risk.",60
1000675009,RAYMIES GROCERIES INC.,Chicago,IL,60628,WELLS FARGO BANK NATL ASSOC,SD,0,25-Mar-97,1997,84,4,1.0,0,0,1,0,0,N,,31-Jul-99,"$25,000.00 ",$0.00 ,P I F,$0.00 ,"$25,000.00 ","$12,500.00 ",Retail Trade,existing,SBA guaranteed,"small employee count, urban location, medium loan term, partial SBA guarantee","Chicago, IL urban area",Established small retail business with a small workforce in an urban setting. Loan partially guaranteed by SBA reduces risk. No revolving credit or low documentation loan status lowers risk. Moderate loan term and small loan amount indicate moderate risk.,40
